Gene	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
UGT1A1	4.5987276260169665	-1.238153878509411	0.22696982842307206	-5.455147440132397	4.893222685075429e-08	4.013860927177816e-06
ITGA2	6.424103361659684	-0.8283924721395434	0.15204979118921752	-5.448165799245689	5.0891907564510114e-08	4.114974240216104e-06
CDX2	21.8032949475882	0.5080953850900243	0.09343856881038187	5.43774794026565	5.395823463564397e-08	4.301459268137252e-06
SERPINB1	25.922296006366278	-0.4099738496092962	0.07637294399932307	-5.368050884786241	7.95921004183081e-08	6.171113539282519e-06
NEURL1B	10.317701462990902	0.6643227846968438	0.1237098492811037	5.37000722705041	7.873348685032274e-08	6.171113539282519e-06
SLC9D1	6.644011961340366	-0.6923996645197752	0.1298049069254113	-5.334156319049194	9.598980577844692e-08	7.341922982513643e-06
FHL2	10.326197782810773	-0.5548742371530248	0.10465191010371507	-5.302093737258286	1.1448202842856568e-07	8.639577078742424e-06
DUOX2	20.205824234388608	-1.9409700800341692	0.3695320121154162	-5.252508622792725	1.5004143766573408e-07	1.1029019963481234e-05
ITGB4	24.9623354488199	-0.5733714147737096	0.10913073144430492	-5.25398672935983	1.4884160995084884e-07	1.1029019963481234e-05
PTTG1IP	31.22406244896217	-0.3907103275283367	0.07467854646799557	-5.231895182852554	1.6778088596793302e-07	1.217486941767309e-05
SEMA4B	13.686620843284771	-0.5899582820811589	0.112976222917792	-5.221968542092671	1.770310478362807e-07	1.2683490262700617e-05
OPTN	13.813465774244259	-0.4930829054521389	0.09489604214766248	-5.196032355963591	2.0358683949090396e-07	1.4403768893981456e-05
SERPINE2	5.264819146683388	-0.8984730033227198	0.1735501597916491	-5.177022045968481	2.254555841061996e-07	1.575405686470481e-05
SLC35C1	9.63671690810042	-0.5530532983093431	0.10717783860499161	-5.1601460293264925	2.467572936134217e-07	1.7032271729902033e-05
TMED10	27.933873870783152	-0.37315161891622706	0.07247996838475246	-5.1483413587515665	2.627999127970248e-07	1.792105429435133e-05
SEC24D	7.7898631021635	-0.6269579123212814	0.12201473160278074	-5.13837881775083	2.7711880973886144e-07	1.8672529322880425e-05
RGS2	4.574530514241582	-0.8525840782249886	0.16731505058386126	-5.095680724775315	3.474903400294397e-07	2.313876852431328e-05
S100A6	97.67236074128827	-0.29247268887599037	0.05748661462922526	-5.087665898616024	3.6249724546775995e-07	2.3857376852878156e-05
TINAGL1	13.846138097329435	-0.4797721337744086	0.09466079791355389	-5.068329702994327	4.0132181300636567e-07	2.6108982317425632e-05
MYOF	14.619015287391626	-0.6126949070084722	0.12191603575861312	-5.025548142178553	5.019966114549738e-07	3.228750932767218e-05
ANXA2	84.81003720482484	-0.3845206059236496	0.07707566302304794	-4.9888718545134845	6.073291514014775e-07	3.862340445991419e-05
GALE	12.594384111988369	-0.4843050517803662	0.09720544266528876	-4.982283280659422	6.283835063983548e-07	3.951834051349653e-05
ARF4	21.548302064178014	-0.4119759205514051	0.08351289051956078	-4.933081803160797	8.094223518408955e-07	5.034429133427987e-05
SPRED1	7.065275330162427	-0.6389564835692209	0.1302709483138826	-4.9048271455710974	9.350964953409859e-07	5.7528762648151956e-05
TSPAN8	91.07510020231415	-0.3172871840517206	0.06479412864196502	-4.896850852103661	9.738469544066914e-07	5.9268535074643795e-05
YBX2	6.368886845403557	0.765227395773	0.15656271567590188	4.88767323988609	1.020346976714484e-06	6.0791198823199794e-05
ALDH1L1	6.703601365954251	-0.8409665169432725	0.1720056330028185	-4.889180094058271	1.0125682872060163e-06	6.0791198823199794e-05
SLC40A1	32.18248007795687	-0.8535414754976988	0.17472768446473524	-4.884981324582061	1.034386576698667e-06	6.098570858452558e-05
PI3	4.7863176270715995	-1.1593425474636794	0.23768207412442585	-4.877702921999776	1.0732840985151854e-06	6.262668038758711e-05
ANTXR2	9.579855684027732	-0.5233582086329838	0.10887886283713126	-4.80679348585648	1.5337027226241571e-06	8.857915724543601e-05
CEMIP2	13.75327977355332	-0.45737637096138056	0.09552735535207944	-4.787909905761087	1.6852726959160792e-06	9.634993392813139e-05
TMBIM1	32.74413675284514	-0.38316269942921816	0.08026042437071974	-4.773992941520029	1.8060871433675265e-06	0.000102224532314602
SEC61A1	28.998969368639873	-0.31640644008550595	0.06655256737212692	-4.754233421474602	1.9920078626159447e-06	0.00011163133170699254
COL17A1	31.48983302524663	-0.5759790135485231	0.12128793342372697	-4.748856685819722	2.045698381671195e-06	0.00011351620431626435
LPGAT1	8.319403264831449	-0.717568031085751	0.15160327217495254	-4.733196195512629	2.210116684798791e-06	0.00012085869949878092
CXCL16	5.53276308711571	-0.673820762850742	0.1423898533421096	-4.7322245724335605	2.2207252204723e-06	0.00012085869949878092
RASEF	9.134936550475636	-0.5500291824098572	0.1166137349193957	-4.716675808300296	2.397292205460588e-06	0.00012922546555149456
HSD11B2	37.093319531651595	0.6589205549974905	0.1404168316728969	4.692603779384909	2.6974961743845478e-06	0.00014268998455155645
MST1R	13.859442470933457	-0.48221367191084125	0.10271969067704502	-4.694461877099505	2.6730945365142036e-06	0.00014268998455155645
TRANK1	15.267992623661709	-0.6312016995036973	0.13471047331612251	-4.685617116216853	2.7911763473768762e-06	0.00014627831598289925
MSMO1	9.450901375580463	-0.6793040785034128	0.14664901179029574	-4.632176311387627	3.618417945802153e-06	0.00018789216122238703
FURIN	11.285632425328938	-0.47645001200778136	0.10294202684735512	-4.628333311469306	3.6862039173178013e-06	0.0001896719470183523
MYO7B	27.193727195819587	-0.4400684379702536	0.09515094155982246	-4.624950954306402	3.7468705034768778e-06	0.00019105664008719936
SLC28A2	4.726311841322975	-0.9741743401173335	0.21075491603563498	-4.622308975951088	3.794922136379825e-06	0.0001917791008206233
TOP2A	7.315851324833272	0.5977170051311322	0.1294650169399729	4.616822515137558	3.89660250628648e-06	0.0001951749573945263
SH3BP2	10.667335727658838	-0.47390516936338806	0.10287064755596978	-4.606806515002699	4.089001478156388e-06	0.00020301533654706278
ATOSB	5.532994505292992	-0.6486129708131662	0.14090594925819527	-4.603162423075916	4.161234449704375e-06	0.00020480510422023272
SLC37A1	9.36847878946425	-0.5101761968159216	0.11149305688148843	-4.575856211012436	4.742762248470175e-06	0.00022947703554577443
ITGA6	30.99199261521193	-0.576440440112963	0.12597536013519628	-4.575818949787715	4.7436065651688355e-06	0.00022947703554577443
ABO	15.803617623201259	0.49216556445795234	0.10767710932688135	4.570753872708991	4.859727890122076e-06	0.00023310220218721142
KLF6	26.353480355754776	-0.5336413560951759	0.11717010100379102	-4.554415772654409	5.253136691650265e-06	0.000249855072896979
TSPAN3	57.227439476905104	-0.32512118402733736	0.07153457069427337	-4.544951914464549	5.494779666031829e-06	0.0002591704409145013
EZR	47.93035824695812	-0.2787941950365845	0.06139274309666573	-4.541158791318545	5.594587306482472e-06	0.00026169722441893214
GBP3	13.099631379113774	-0.6906130817725413	0.15235088515643888	-4.533042791733026	5.814003100422698e-06	0.0002653811092612296
MAL2	34.51027868494297	-0.4131844357988902	0.0911264833408693	-4.534186118576806	5.782602326091359e-06	0.0002653811092612296
GCNT3	46.75569536987968	-0.5900841281583433	0.13016449991479814	-4.533372221647185	5.804938810647774e-06	0.0002653811092612296
LIPH	16.53843288734256	-0.5862504397333059	0.12989226395700496	-4.513359163001101	6.380882761307472e-06	0.0002874912122917142
XDH	9.920316743361152	-0.6113543738859735	0.13547342170446264	-4.5127255678213585	6.399981051016961e-06	0.0002874912122917142
ACY1	9.789144461936129	-0.5079406879171453	0.11302187968565143	-4.4941801475066985	6.98384882802621e-06	0.000308817065364284
HMGN2	30.735188266427077	0.28755731130943357	0.06396719116987303	4.495387495533273	6.944336773182127e-06	0.000308817065364284
CCNYL1	7.637440100874745	-0.5598599787237928	0.12493963493634039	-4.481043817752903	7.427885792347212e-06	0.0003259056867029862
TMC5	9.708164194346034	-0.6001255887038498	0.13404951200989568	-4.476894989812032	7.573647811554573e-06	0.0003297449739492222
PLCXD1	5.591066664842426	-0.649487929920488	0.14589608884413585	-4.451715841501076	8.518684717617683e-06	0.0003680592023031762
PCDH1	13.88250321003553	-0.4372240988837619	0.09840748593192265	-4.442996330444101	8.871467945044066e-06	0.00037781347699441284
IL2RG	12.993493679526052	-0.5318922203509676	0.11971898812704128	-4.44283925776706	8.87794919439168e-06	0.00037781347699441284
KIAA1217	10.08291134494819	-0.49373226998052916	0.11143228252476492	-4.430783062087965	9.389150994183265e-06	0.00039658652706774084
SURF4	24.46247675066405	-0.3472354424515051	0.07852163016768045	-4.42216293408574	9.771772056145847e-06	0.00040667816057195216
RAB10	17.855518510037392	-0.36237479958798097	0.08192194547678124	-4.42341545331937	9.715266147941018e-06	0.00040667816057195216
MOGAT2	11.382188589685033	0.4642680639094625	0.10513183759552643	4.4160558259776685	1.0051813470065315e-05	0.0004152793010260561
DAP	13.176628035189056	-0.4324696908510527	0.09803780261204563	-4.411254427666215	1.0277346891390004e-05	0.0004215201696033871
CTTN	26.68632274635515	-0.32451334454912695	0.07366785985946724	-4.405087173269131	1.0574134648082598e-05	0.0004228317136712733
B4GALNT3	13.566320656216446	-0.416487365230128	0.09456185062812753	-4.40439101459636	1.0608145466664455e-05	0.0004228317136712733
CES3	13.556674432761776	0.49521694725267956	0.11238378206793015	4.4064805271755905	1.0506374871689262e-05	0.0004228317136712733
ERRFI1	6.528239153990935	-0.6174147916851912	0.14008830532067293	-4.407325724098675	1.0465474606759304e-05	0.0004228317136712733
DHRS11	17.667540177010405	0.5600755005486017	0.12734284990215686	4.398169987391773	1.0916746362860116e-05	0.0004290887806513074
MAP2K3	7.672193801744416	-0.5263858880169244	0.11964850216029498	-4.399435667917656	1.0853274467544722e-05	0.0004290887806513074
YBX1	42.50308548370813	0.23573022458594148	0.05365495391555655	4.393447526894522	1.1156712753037852e-05	0.00043549651160133964
ASPH	17.607345277505082	-0.6873328418928231	0.15691717650953463	-4.3802269272354595	1.1855577922660766e-05	0.0004596066509743831
LAMA3	13.671685639965322	-0.5322575758638511	0.12161083686912538	-4.3767281729723955	1.2047406591802585e-05	0.000463866131357841
SLC2A1	8.585657808247975	-0.6377739093788114	0.14610640544028677	-4.365133119639081	1.2704536571996178e-05	0.000478893708476358
SATB2	14.430549612912946	0.4385199683132687	0.10040316153019924	4.367591235474899	1.2562432519014227e-05	0.000478893708476358
LCN2	13.983253778428601	-1.2109508133878861	0.27749251299167466	-4.363904453970681	1.2776139572425806e-05	0.000478893708476358
CD68	15.366120742393385	-0.40134787609110234	0.09192751080187349	-4.365916933790432	1.2659058423873478e-05	0.000478893708476358
PLXNA3	7.616656737975451	-0.6803133839768475	0.1567814110429036	-4.339247742774034	1.4297127495487743e-05	0.0005289002720552981
ABLIM1	20.828340525257072	-0.4150761500034216	0.09562511665514263	-4.3406603256791865	1.4205517530412885e-05	0.0005289002720552981
SH3BP1	7.677347575647643	0.5198496973701213	0.11989562635731008	4.335852050356514	1.4519658381142611e-05	0.0005336445872549817
SDCBP	17.23429108168265	-0.3448125920159214	0.07965442840274381	-4.32885652348795	1.4988553693950796e-05	0.0005369317335934273
PXN	19.239065640168246	-0.37454651336762684	0.08650605085007444	-4.329714623278338	1.4930269666666257e-05	0.0005369317335934273
FAM3C	6.8765518146071	-0.5419778598407696	0.12517192815478329	-4.329867469729942	1.4919910699643881e-05	0.0005369317335934273
SAMD9	6.878431669994116	-0.6025410108982224	0.13908317067742615	-4.332235222733656	1.4760312105341672e-05	0.0005369317335934273
COL6A1	14.229087730420527	0.5472223073850794	0.12646014268716846	4.327231456149578	1.5099526815243858e-05	0.0005375051683916996
CHP2	25.657666819518955	0.7561274303548833	0.17557083467600101	4.306680159892406	1.6572296189204554e-05	0.0005862449776931111
ITGB6	5.790600419709208	-0.5895041199873516	0.1373300308273903	-4.292608954033496	1.7658584972435986e-05	0.0006207924903353271
MAP2K6	8.424682951698147	0.5102125145266139	0.11897843581789647	4.288277207707826	1.8006428473642092e-05	0.0006291134886470015
PRSS23	10.091055548451516	-0.5239556795409855	0.1227654127903153	-4.267942147809234	1.972844722140329e-05	0.0006850491489149855
VILL	21.2272119899874	-0.41326018739674747	0.09705397632263653	-4.258044884456322	2.0622254988607e-05	0.0007117192880214369
AGRN	10.177802927053252	-0.6127193053560414	0.1439512225884228	-4.256436967596265	2.077105606621602e-05	0.0007125101656653496
FER1L6	4.925676171162121	-0.6994352733914951	0.16495952558194935	-4.2400417370503805	2.2347823031597733e-05	0.0007574172356816957
NQO1	18.560991266680148	-0.5344697883677723	0.12603203575201616	-4.240745499179341	2.2277862190505162e-05	0.0007574172356816957
LRPPRC	17.072118636238528	0.35986586415210425	0.0849179009348483	4.237809227387812	2.257114275216384e-05	0.0007604325474836151
PYGB	38.18580760285003	-0.3370773993964442	0.07959088146109375	-4.235125848696839	2.2842374169671083e-05	0.0007650167917179783
SEPHS2	15.602088287610199	0.38997130475198644	0.09255159512015114	4.213555738782492	2.5138151390870792e-05	0.0008369525698372276
MAZ	15.355641879216936	0.37359333303391645	0.08894776424843344	4.20014304115009	2.667464052773894e-05	0.000882915002263172
CCNI	17.98453944325781	-0.3814666800621109	0.09113641420008829	-4.185666985148306	2.8432995052439142e-05	0.0009356439069581718
STX7	8.139121933441277	-0.4784785285421956	0.11447692755075844	-4.179694011529448	2.919015956108357e-05	0.0009550075324608843
AKAP9	14.818459820429513	0.44915846425919653	0.10771722916745342	4.169792221084248	3.0487746825275397e-05	0.000989283006408263
EPS8L1	5.672986984818655	-0.5868446504890412	0.14076224623789663	-4.169048634654768	3.058737210626255e-05	0.000989283006408263
TMEM236	8.016405069999447	0.5667576220600509	0.13668542896003782	4.146437746672702	3.3768793823144967e-05	0.0010859737104488665
SERPINB6	22.74425473523427	-0.3915187876473649	0.09477206255199139	-4.131162466075697	3.6093336800020065e-05	0.001154171108972393
RAP1B	19.857669724819377	-0.3998212639537625	0.09688708491368088	-4.126672448757987	3.6805003411424495e-05	0.0011703164006104643
GSKIP	15.33166027936888	-0.44015828910886523	0.1072046848782957	-4.105774757964689	4.029619916932687e-05	0.001274170320102738
AIFM3	9.114630058078076	0.5573068790014604	0.13598584589605495	4.098271223223153	4.162473699092087e-05	0.001308866729825623
ANO9	18.037462635616603	0.48814317285310266	0.11923852423741174	4.093837759021384	4.242912535714379e-05	0.0013267892238753253
UGT2A3	7.956709393984395	0.6038516893202658	0.1477350130571265	4.087397271808323	4.36239739549108e-05	0.0013495753014932516
TC2N	8.489666934862214	-0.464273948680409	0.11358827769775297	-4.087340332034926	4.363467847584188e-05	0.0013495753014932516
CYSTM1	16.790235758373626	-0.35849143943340167	0.087808458545888	-4.082652689388198	4.452453936310773e-05	0.0013696135477999443
GK	6.409698550465125	-0.539817838627776	0.13227890128475264	-4.080906579846222	4.486038407841802e-05	0.0013724852642370052
TMEM106B	7.7184826820584505	-0.4795509503172917	0.11774479885370509	-4.072799435609224	4.6451422913935344e-05	0.00141352179404771
CEACAM5	134.86939931646347	-0.25382793234577783	0.06248551020267901	-4.062188682183397	4.861475755863859e-05	0.0014714413250368685
S100A14	34.96124869971519	-0.4007556738876846	0.09886412244450397	-4.053600679181099	5.043527918023623e-05	0.0015184238306390268
AGR2	92.33926112156823	-0.40570945778447576	0.10021498976650682	-4.048390951590649	5.157095212056302e-05	0.0015443999418115696
ITPR3	27.636014458348416	-0.3686766465933845	0.09116444376443343	-4.044083760835918	5.2528138963853814e-05	0.0015647856133442768
LGALS9	20.3910115220155	0.3832911919277545	0.09522867815898653	4.024955500147138	5.698609046196452e-05	0.0016886977592393674
WWC1	5.110086623931223	-0.5828555232272976	0.14501440062884616	-4.0192940887234645	5.837277197734296e-05	0.0017207806739154227
B3GALT5	19.189323291119663	-0.8413348615560907	0.2099064168650608	-4.008142648144703	6.119815329381057e-05	0.0017947230447822168
CCND2	7.655503786553155	0.540861772667674	0.13542563357880602	3.993791709698291	6.502499123769947e-05	0.001896022742667703
HKDC1	7.5332272531232105	-0.49732157211012845	0.12455738755674048	-3.9927103631936736	6.53223383074562e-05	0.001896022742667703
CAPN8	18.186027144048328	-0.53184906394228	0.13340036712444603	-3.986863570218894	6.695249877648696e-05	0.0019334241993618172
MUC13	79.75689626427794	-0.38624920058177364	0.09706912917416506	-3.979114718220567	6.917235971985447e-05	0.001987388609210032
SEC14L1	6.784227127293742	-0.5478562718338842	0.1377740982588635	-3.9764823632125545	6.994218359534282e-05	0.0019993573694426277
NDUFV1	18.696980701083586	0.43744560528517634	0.11005804847364815	3.9746807375920037	7.04737277423798e-05	0.0020044286383008527
DAPK1	4.877924673974217	-0.6047091231054943	0.1522548522155858	-3.9716903225471873	7.136445233039653e-05	0.002019614000950222
SFPQ	24.355904574485795	0.28434946622836166	0.07183158832941071	3.9585574096506186	7.540381772916502e-05	0.002123311484313801
GALNT3	12.523727489187616	-0.4100813147920959	0.10375472380554887	-3.9524110300813553	7.736769848613724e-05	0.0021678275912452314
SYNE2	12.996029714697674	0.3879121165533044	0.09820683981513906	3.9499500980124793	7.816748844006242e-05	0.0021794481998559274
TIMP2	12.083379262407753	-0.47105143794251336	0.11956893090494866	-3.9395805781434623	8.162418402096875e-05	0.0022646709880327605
ACAT1	10.294477881837707	0.4716166243146795	0.1198014878420717	3.9366508113520933	8.262670151375355e-05	0.0022813030759407074
DUSP5	5.006098918410836	-0.585529144698584	0.1488366573138468	-3.9340385310044863	8.35303839580431e-05	0.0022950581223423494
SEC31A	14.745053660872411	-0.3363297369724014	0.08554855081935334	-3.931448677401965	8.443552291008981e-05	0.002308720095029509
GLUL	26.57751468684742	-0.3826490974200205	0.09741613248211696	-3.9279849001423335	8.566058779941203e-05	0.0023289691192475035
EHBP1L1	15.778814330304751	-0.4184354090277526	0.10655247014627606	-3.9270362146773437	8.599903638210747e-05	0.0023289691192475035
TCF7L2	10.641842618509635	-0.47488536975210494	0.12104651869293595	-3.9231642089333243	8.739354170105208e-05	0.002344300692075615
PLXNB2	33.48428531273133	-0.39117956630374956	0.09969182724432296	-3.9238880168687613	8.713124882265958e-05	0.002344300692075615
SLC39A5	12.855744908253415	0.5479932938573434	0.1398147485124572	3.919424092863267	8.876081032212477e-05	0.0023697461623737085
TUFM	21.52510529774128	0.3084885814471805	0.07880743163293541	3.9144605407779354	9.060655298408362e-05	0.002407667088685039
PPP4R1	7.531321945288847	-0.47001350994413826	0.12017587054598207	-3.9110472660508018	9.189678425153097e-05	0.0024305411161853517
LRRC8A	5.766230277346361	-0.5315357296113906	0.1361281121512456	-3.904672746954913	9.435297537468164e-05	0.002483896933119526
UBE2H	8.444433252496575	-0.44993905835372927	0.11538549472876806	-3.8994421214848756	9.641458056366797e-05	0.002526419101807225
IVNS1ABP	22.57173894067153	-0.40131436871847914	0.10308171599235567	-3.8931673270576885	9.894385546836094e-05	0.002563203020692815
GPI	22.405270343527274	0.2892479814863739	0.07430720461159016	3.892596727306548	9.917693666638278e-05	0.002563203020692815
